index_product_wise,product_id_processed,comments,star_rating,helpful_votes,total_votes,verified_purchase,review_date,diff_date,is_predict
0,0,"['really', 'like', 'microwave', 'like', 'easy', 'get', 'amazon', 'really', 'good', 'convection', 'oven', 'although', 'somewhat', 'noisy', 'fan', 'easy', 'install', 'came', 'clear', 'instructions', 'amazon', 'delivered', 'quickly', 'best', 'price', 'anywhere']",5,6,10,Y,2007-01-04 00:00:00,0,0
1,0,"['my', 'sharp', 'convection', 'range', 'mirowave', 'perfect', 'other', 'brands', 'protruding', 'handle', 'could', 'hit', 'tall', 'people', 'face', 'handle', 'new', 'sharp', 'flush', 'much', 'stylish', 'my', 'husband', 'installed', 'instructions', 'great', 'sharp', 'designed', 'shipping', 'box', 'used', 'lifter', 'holder', 'assist', 'installer', 'best', 'thing', 'excellant', 'service', 'amazon', 'saved', '200', 'thank', 'amazon', 'sharp']",5,6,7,N,2007-02-20 00:00:00,47,0
2,0,"['oven', 'great', 'cook', 'anything', 'fast', 'little', 'pricey', 'get', 'pay', 'time', 'time', 'stick', 'hot', 'dog', 'potaoes', 'bacon', 'push', 'right', 'number', 'presto', 'cooked', 'food', 'baked', 'chicken', 'night', 'brown', 'done', 'tasty', 'love', 'darn', 'thing', 'give', 'high', 'five']",5,11,11,N,2007-06-09 00:00:00,109,0
3,0,"['great', 'help', 'installation', 'smaller', 'oven', 'size', 'ge', 'sears', 'display', 'could', 'larger', 'numbers', 'no', 'handle', 'open', 'door']",4,3,5,Y,2007-07-28 00:00:00,49,0
4,0,"['got', 'amazon', 'pleased', 'recommend', 'open', 'box', 'inspect', 'immediately', 'upon', 'delivery', 'especially', 'holiday', 'season', 'shippers', 'lot', 'inexperienced', 'people', 'our', 'first', 'unit', 'box', 'externally', 'seemed', 'fine', 'interior', 'packing', 'pulverized', 'unit', 'obviously', 'busted', 'amazon', 'replaced', 'second', 'unit', 'still', 'running', 'strong', 'love', 'could', 'write', 'tome', 'convection', 'oven', 'bakes', 'roasts', 'setting', '100', 'degrees', 'raising', 'bread', '150', 'degrees', 'bring', 'steak', 'roast', 'room', 'temp', 'searing', 'cooking', 'think', '150', 'degrees', 'faster', 'safer', 'sit', 'kitchen', 'counter', 'recommended', 'cookbooks', 'better', 'cook', 'one', 'warning', 'dual', 'appliance', 'like', 'obvious', 'using', 'thing', 'available', 'want', 'without', 'unit', 'also', 'another', 'microwave', 'feel', 'need', 'say', 'two', 'tandem', 'nearly', 'every', 'evening']",5,14,16,N,2007-12-01 00:00:00,126,0
5,0,"['you', 'surprised', 'amount', 'size', 'food', 'oven', 'accomodate', 'cooks', 'everything', 'meatloaf', 'pound', 'cake', 'evenly', 'locking', 'juices', 'bought', 'sharp', 'range', 'microwave', 'gave', 'eleven', 'years', 'constant', 'used', 'sharp', 'features', 'made', 'logical', 'choice', 'at', 'time', 'wanted', 'replace', 'conventional', 'oven', 'also', '11', 'yrs', 'old', 'never', 'baked', 'evenly', 'with', 'sharp', 'micro', 'convection', 'combo', 'longer', 'replace', 'conventional', 'range', 'oven', 'storage']",5,7,7,Y,2008-02-22 00:00:00,83,0
6,0,"['never', 'owned', 'convection', 'oven', 'love', 'living', 'south', 'cooking', 'people', 'heat', 'whole', 'kitchen', 'easy', 'bake', 'everything', 'also', 'pampered', 'chef', 'stones', 'even', 'easier', 'clean']",5,2,3,N,2008-07-18 00:00:00,147,0
7,0,"['after', 'owning', 'previous', 'sharp', 'microwave', 'convection', 'oven', 'bought', 'installed', '5', 'years', 'ago', 'still', 'pleased', 'day', 'installed', 'excellent', 'even', 'microwave', 'oven', 'performance', 'highly', 'recommend', 'product']",5,5,6,Y,2010-08-25 00:00:00,768,0
8,0,"['owner', 'product', 'several', 'years', 'looks', 'nice', 'works', 'great', 'amazon', 'handles', 'shipping', 'heavy', 'product', 'ease', 'need', 'concerned', 'getting', 'top', 'condition']",5,0,0,Y,2010-12-12 00:00:00,109,0
9,0,"['my', 'wife', 'wanted', 'item', 'conducting', 'great', 'deal', 'internet', 'research', 'used', 'using', '10', 'year', 'old', 'microwave', 'think', 'impressed', 'new', 'model', 'wrong', 'best', 'appliances', 'ever', 'purchased']",5,2,2,Y,2012-06-22 00:00:00,558,0
